iso_i,iso_n,country_i,country_n,date,dD_hat_c,dS_hat_c
GBR,DNK,unitedkingdom,denmark,161,0.97280536,0.96744217
GBR,FIN,unitedkingdom,finland,161,0.98895684,1.0138431
GBR,DEU,unitedkingdom,germany,161,1.0383232,1.014605
GBR,GRC,unitedkingdom,greece,161,1.0066876,0.97183365
GBR,IND,unitedkingdom,india,161,0.97501979,1.0794435
GBR,ITA,unitedkingdom,italy,161,0.99352622,0.98074026
GBR,JPN,unitedkingdom,japan,161,1.0666667,1.0181782
GBR,MEX,unitedkingdom,mexico,161,0.96201194,1.1639075
GBR,POL,unitedkingdom,poland,161,0.99976749,0.98829029
GBR,ROU,unitedkingdom,romania,161,0.8897173,1.0710167
GBR,KOR,unitedkingdom,southkorea,161,0.90263349,1.04842
GBR,ESP,unitedkingdom,spain,161,0.98596385,0.94805034
GBR,SWE,unitedkingdom,sweden,161,1.0357967,1.0807977
GBR,GBR,unitedkingdom,unitedkingdom,161,1,1
GBR,USA,unitedkingdom,unitedstates,161,1.0731781,1.0485937
GBR,ROW,unitedkingdom,zz_row,161,1.0214312,1.0414355
USA,AUT,unitedstates,austria,161,0.87784579,0.92238326
USA,CAN,unitedstates,canada,161,1.006477,1.0179831
USA,CZE,unitedstates,czechrepublic,161,0.74452947,0.81813698
USA,DNK,unitedstates,denmark,161,1.0700032,0.86328271
USA,FIN,unitedstates,finland,161,0.92231034,0.84498378
USA,DEU,unitedstates,germany,161,0.94083477,0.92932706
USA,GRC,unitedstates,greece,161,0.95067889,0.90136062
USA,IND,unitedstates,india,161,1.057175,1.0431491
USA,ITA,unitedstates,italy,161,0.85117087,0.93053396
USA,JPN,unitedstates,japan,161,0.9960174,0.98027388
USA,MEX,unitedstates,mexico,161,0.99923747,1.0008153
USA,POL,unitedstates,poland,161,0.71453478,0.94596403
USA,ROU,unitedstates,romania,161,0.95461053,0.90634072
USA,KOR,unitedstates,southkorea,161,0.9720876,0.98021212
USA,ESP,unitedstates,spain,161,0.75943247,0.88540848
USA,SWE,unitedstates,sweden,161,0.9537024,1.0102721
USA,GBR,unitedstates,unitedkingdom,161,0.96241259,0.91999162
USA,USA,unitedstates,unitedstates,161,1,1
USA,ROW,unitedstates,zz_row,161,0.93976709,0.95651566
ROW,AUT,zz_row,austria,161,0.98222151,0.96272898
ROW,CAN,zz_row,canada,161,0.99782823,1.031221
ROW,CZE,zz_row,czechrepublic,161,0.85673442,0.87819574
ROW,DNK,zz_row,denmark,161,0.95875699,0.96763454
ROW,FIN,zz_row,finland,161,0.97337888,0.983321
ROW,DEU,zz_row,germany,161,0.96089311,0.98894671
ROW,GRC,zz_row,greece,161,0.99108766,0.94670631
ROW,IND,zz_row,india,161,1.1010598,1.0246125
ROW,ITA,zz_row,italy,161,0.95341106,0.95302756
ROW,JPN,zz_row,japan,161,1.0116975,1.0145897
ROW,MEX,zz_row,mexico,161,1.0313882,0.99699092
ROW,POL,zz_row,poland,161,0.99799715,0.96826626
ROW,ROU,zz_row,romania,161,0.89557028,1.0139817
ROW,KOR,zz_row,southkorea,161,1.0189947,1.0136519
ROW,ESP,zz_row,spain,161,0.95135802,0.93720202
ROW,SWE,zz_row,sweden,161,1.0126187,1.0795195
ROW,GBR,zz_row,unitedkingdom,161,0.96411445,0.97786889
ROW,USA,zz_row,unitedstates,161,1.0245679,1.0152065
ROW,ROW,zz_row,zz_row,161,1,1
AUT,AUT,austria,austria,162,1,1
AUT,CAN,austria,canada,162,1.0809735,0.8530892
AUT,CZE,austria,czechrepublic,162,1.0242717,1.0463151
AUT,DNK,austria,denmark,162,1.0306628,0.96152225
AUT,FIN,austria,finland,162,0.99877189,0.99371471
AUT,DEU,austria,germany,162,1.0068263,1.0236228
AUT,GRC,austria,greece,162,0.98729671,1.0301276
AUT,IND,austria,india,162,0.84957677,1.0302483
AUT,ITA,austria,italy,162,0.98468999,0.98332333
AUT,JPN,austria,japan,162,0.96451755,0.84837935
AUT,MEX,austria,mexico,162,1.2434459,1.0109768
AUT,POL,austria,poland,162,0.93978841,1.0304857
AUT,ROU,austria,romania,162,0.95021621,1.0273391
AUT,KOR,austria,southkorea,162,1.1054756,0.99887401
AUT,ESP,austria,spain,162,1.0142656,0.97165713
AUT,SWE,austria,sweden,162,0.97701528,1.0250281
AUT,GBR,austria,unitedkingdom,162,0.9784171,1.0122088
AUT,USA,austria,unitedstates,162,1.0140801,1.0289269
AUT,ROW,austria,zz_row,162,1.0164514,1.0208072
CAN,AUT,canada,austria,162,0.95053447,0.95981714
CAN,CAN,canada,canada,162,1,1
CAN,CZE,canada,czechrepublic,162,0.97493265,0.88072024
CAN,DNK,canada,denmark,162,0.81630446,0.91039283
CAN,FIN,canada,finland,162,0.80152197,1.0374313
CAN,DEU,canada,germany,162,1.2301588,0.97396119
